Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2014/9/16, 17:00:00, 17059, 17134, 17005, 17078, 164109, 105285, 80249, 83860
2014/9/17, 17:00:00, 17089, 17198, 17070, 17198, 107080, 69263, 54393, 52687
2014/9/18, 17:00:00, 17200, 17279, 17170, 17194, 135596, 88179, 68425, 67171
2014/9/21, 17:00:00, 17200, 17210, 17076, 17087, 147428, 91727, 74520, 72908
2014/9/22, 17:00:00, 17084, 17111, 16929, 16931, 149970, 95089, 73720, 76250
2014/9/23, 17:00:00, 16936, 17149, 16936, 17138, 141223, 86232, 70342, 70881
2014/9/24, 17:00:00, 17130, 17149, 16863, 16906, 212656, 126627, 102805, 109851
2014/9/25, 17:00:00, 16902, 17069, 16880, 17036, 151498, 98062, 76032, 75466
2014/9/28, 17:00:00, 17039, 17039, 16848, 16976, 178819, 112632, 89986, 88833
2014/9/29, 17:00:00, 16980, 17063, 16932, 16939, 161734, 104052, 80684, 81050
2014/9/30, 17:00:00, 16937, 16984, 16690, 16749, 227888, 143203, 111754, 116134
2014/10/1, 17:00:00, 16734, 16775, 16589, 16723, 226932, 145165, 114368, 112564
2014/10/2, 17:00:00, 16723, 16947, 16705, 16924, 143421, 92863, 70118, 73303
2014/10/5, 17:00:00, 16923, 17020, 16844, 16886, 165238, 108089, 83801, 81437
2014/10/6, 17:00:00, 16881, 16904, 16621, 16624, 205941, 135304, 103228, 102713
2014/10/7, 17:00:00, 16623, 16928, 16582, 16913, 249678, 152493, 122529, 127149
2014/10/8, 17:00:00, 16903, 16949, 16537, 16555, 342492, 224612, 170973, 171519
2014/10/9, 17:00:00, 16541, 16682, 16427, 16431, 308925, 214196, 159532, 149393
2014/10/12, 17:00:00, 16420, 16526, 16221, 16225, 306215, 203594, 152497, 153718
2014/10/13, 17:00:00, 16227, 16385, 16195, 16279, 304387, 213258, 152240, 152147
2014/10/14, 17:00:00, 16287, 16329, 15769, 15998, 535281, 359222, 267816, 267465
2014/10/15, 17:00:00, 16007, 16136, 15785, 16017, 430078, 285228, 216727, 213351
2014/10/16, 17:00:00, 16033, 16347, 16020, 16318, 266645, 184637, 134097, 132548
2014/10/19, 17:00:00, 16334, 16419, 16163, 16341, 180640, 128512, 89209, 91431
2014/10/20, 17:00:00, 16359, 16560, 16209, 16557, 181462, 121733, 88036, 93426
2014/10/21, 17:00:00, 16546, 16598, 16383, 16427, 192837, 127829, 95192, 97645
2014/10/22, 17:00:00, 16426, 16693, 16403, 16623, 200242, 135846, 100963, 99279
2014/10/23, 17:00:00, 16619, 16743, 16514, 16741, 160385, 110676, 81341, 79044
2014/10/26, 17:00:00, 16740, 16797, 16652, 16759, 132619, 92687, 66070, 66549
2014/10/27, 17:00:00, 16766, 16940, 16754, 16932, 131223, 86614, 64625, 66598
2014/10/28, 17:00:00, 16919, 16992, 16820, 16922, 175176, 116737, 87209, 87967
2014/10/29, 17:00:00, 16912, 17152, 16831, 17122, 197813, 130006, 99649, 98164
2014/10/30, 17:00:00, 17116, 17355, 17105, 17295, 172508, 113638, 84629, 87879
2014/11/2, 17:00:00, 17312, 17342, 17267, 17281, 108674, 73592, 55376, 53298
2014/11/3, 17:00:00, 17288, 17329, 17208, 17308, 141238, 95769, 71308, 69930
2014/11/4, 17:00:00, 17311, 17426, 17289, 17414, 138449, 94949, 67402, 71047
2014/11/5, 17:00:00, 17415, 17512, 17367, 17511, 136322, 91710, 66905, 69417
2014/11/6, 17:00:00, 17501, 17548, 17437, 17511, 115052, 78877, 58360, 56692
2014/11/9, 17:00:00, 17499, 17569, 17472, 17556, 79467, 54807, 39625, 39842
2014/11/10, 17:00:00, 17546, 17604, 17531, 17568, 70531, 47660, 34827, 35704
2014/11/11, 17:00:00, 17560, 17584, 17483, 17570, 103638, 69025, 52247, 51391
2014/11/12, 17:00:00, 17565, 17661, 17543, 17595, 135835, 88322, 68294, 67541
2014/11/13, 17:00:00, 17592, 17639, 17577, 17611, 92735, 64031, 46468, 46267
2014/11/16, 17:00:00, 17607, 17641, 17511, 17622, 98164, 68476, 49140, 49024
2014/11/17, 17:00:00, 17620, 17700, 17600, 17649, 94498, 64497, 45811, 48687
2014/11/18, 17:00:00, 17651, 17682, 17591, 17659, 106409, 71593, 53803, 52606
2014/11/19, 17:00:00, 17652, 17701, 17558, 17697, 101633, 68466, 52111, 49522
2014/11/20, 17:00:00, 17695, 17870, 17678, 17779, 129497, 87878, 61485, 68012
2014/11/23, 17:00:00, 17780, 17832, 17765, 17792, 71399, 48696, 35088, 36311
2014/11/24, 17:00:00, 17792, 17834, 17763, 17816, 79436, 52601, 40274, 39162
2014/11/25, 17:00:00, 17807, 17847, 17773, 17828, 61610, 40406, 30419, 31191
2014/11/26, 17:00:00, 17818, 17844, 17786, 17839, 13347, 9026, 6699, 6648
2014/11/27, 17:00:00, 17820, 17877, 17759, 17808, 69151, 44963, 35594, 33557
2014/11/30, 17:00:00, 17784, 17809, 17701, 17752, 138475, 88782, 70285, 68190
2014/12/1, 17:00:00, 17755, 17886, 17755, 17868, 111824, 71412, 57488, 54336
2014/12/2, 17:00:00, 17867, 17917, 17840, 17897, 84283, 55941, 42015, 42268
2014/12/3, 17:00:00, 17893, 17929, 17801, 17891, 133379, 89409, 65285, 68094
2014/12/4, 17:00:00, 17886, 17980, 17882, 17956, 100313, 67509, 48762, 51551
2014/12/7, 17:00:00, 17953, 17963, 17793, 17859, 131494, 84535, 65986, 65508
2014/12/8, 17:00:00, 17854, 17873, 17623, 17785, 183704, 123797, 92112, 91592
2014/12/9, 17:00:00, 17779, 17807, 17500, 17541, 194048, 125742, 97683, 96365
2014/12/10, 17:00:00, 17541, 17766, 17516, 17544, 174355, 119184, 87317, 87038
2014/12/11, 17:00:00, 17492, 17507, 17187, 17205, 176688, 126439, 87421, 89267
2014/12/14, 17:00:00, 17187, 17344, 17051, 17129, 237999, 159576, 120610, 117389
2014/12/15, 17:00:00, 17147, 17367, 16974, 17022, 305833, 208609, 150678, 155155
2014/12/16, 17:00:00, 17026, 17327, 17016, 17290, 283532, 195260, 136749, 146783
2014/12/17, 17:00:00, 17285, 17744, 17268, 17738, 196907, 134066, 94792, 102115
2014/12/18, 17:00:00, 17717, 17845, 17686, 17746, 162445, 113857, 77413, 85032
2014/12/21, 17:00:00, 17741, 17928, 17741, 17899, 94277, 69869, 45601, 48676
